#{"t_start": 1616435654.7412186, "env_id": null}
r,l,t
-0.833333,8,48.174015
-0.761905,11,48.257663
-0.857143,7,48.314528
-0.904762,5,48.354063
-9.690476,14,48.449128
-0.785714,10,48.523005
-0.833333,8,48.585664
-0.904762,5,48.623418
-0.904762,5,48.659067
-0.857143,7,48.712483
-0.809524,9,48.781196
-0.785714,10,48.975985
-0.880952,6,49.022558
-0.690476,14,49.124845
-0.833333,8,49.186586
-0.809524,9,49.254307
-0.904762,5,49.292999
-0.904762,5,49.332584
-0.785714,10,49.40485
-0.857143,7,49.458325
-0.904762,5,49.494669
-9.761905,11,49.572958
-0.809524,9,49.640217
-0.833333,8,49.702183
1.285714,13,49.79707
-0.785714,10,49.8716
-0.833333,8,49.931417
-9.642857,16,50.040067
-0.785714,10,50.111567
-0.738095,12,50.201754
-0.928571,4,50.232493
-0.761905,11,50.318554
-0.714286,13,50.420202
-0.857143,7,50.47781
-0.809524,9,50.556391
-0.761905,11,50.650187
-0.809524,9,50.72631
-9.809524,9,50.79533
-0.880952,6,50.843085
-0.833333,8,51.027564
-9.761905,11,51.11394
-9.785714,10,51.190321
-0.833333,8,51.254289
-0.761905,11,51.344222
-9.785714,10,51.416433
-0.857143,7,51.474795
-0.809524,9,51.544415
-0.761905,11,51.633652
-0.833333,8,51.700043
-0.809524,9,51.773295
-0.785714,10,51.854149
-9.714286,13,51.954232
-0.880952,6,52.002325
-0.761905,11,52.089563
-0.690476,14,52.196911
-0.880952,6,52.245565
-0.809524,9,52.313586
-0.761905,11,52.395084
-0.928571,4,52.425464
-0.904762,5,52.462886
-0.809524,9,52.531168
-0.904762,5,52.568446
-0.904762,5,52.605678
-0.761905,11,52.687198
-0.833333,8,52.750245
-0.928571,4,52.782976
-0.904762,5,52.820622
-0.785714,10,52.896348
-0.857143,7,52.951007
-0.880952,6,53.116168
-0.809524,9,53.185012
-0.928571,4,53.216299
-0.785714,10,53.290671
-0.642857,16,53.414401
-0.928571,4,53.445907
-0.833333,8,53.505733
-0.714286,13,53.601301
-0.928571,4,53.631882
-0.809524,9,53.698342
-9.714286,13,53.792445
-0.904762,5,53.829457
-9.595238,18,53.951324
-0.785714,10,54.026987
-0.880952,6,54.072382
-0.738095,12,54.16156
-9.785714,10,54.23218
-0.928571,4,54.262726
-0.880952,6,54.309317
-0.809524,9,54.383062
-9.738095,12,54.472385
-0.714286,13,54.572888
-0.833333,8,54.639797
-0.904762,5,54.681096
-0.785714,10,54.764194
-0.809524,9,54.841393
-0.833333,8,54.910712
-0.809524,9,54.9803
-0.785714,10,55.175174
-0.785714,10,55.251816
-9.714286,13,55.345192
-0.833333,8,55.405511
-0.880952,6,55.449849
-0.785714,10,55.526433
-0.833333,8,55.585309
-0.857143,7,55.637005
-0.904762,5,55.674937
-0.904762,5,55.710352
-0.785714,10,55.786329
-0.666667,15,55.895618
-0.904762,5,55.934081
-0.809524,9,56.002951
-0.833333,8,56.063728
-0.833333,8,56.122117
-9.785714,10,56.191743
-0.761905,11,56.276985
-0.928571,4,56.307299
-0.738095,12,56.400138
-0.809524,9,56.468868
-0.690476,14,56.570277
-0.880952,6,56.614037
-0.809524,9,56.682037
-9.761905,11,56.758308
-0.761905,11,56.839755
-0.857143,7,56.893807
-0.738095,12,56.984427
-0.761905,11,57.068342
-0.904762,5,57.224848
-9.761905,11,57.303514
-0.857143,7,57.357084
-0.928571,4,57.388575
-0.809524,9,57.456583
-0.857143,7,57.508518
-0.738095,12,57.59547
-0.904762,5,57.634541
-0.761905,11,57.713456
-0.690476,14,57.81591
-0.857143,7,57.870462
-0.809524,9,57.937852
-9.738095,12,58.019252
-0.928571,4,58.048593
-0.809524,9,58.116322
-0.880952,6,58.158682
-9.690476,14,58.257575
-0.904762,5,58.292849
-0.809524,9,58.364805
-0.880952,6,58.410837
-0.738095,12,58.502702
-9.595238,18,58.628479
-0.809524,9,58.69505
-0.880952,6,58.739933
-0.904762,5,58.777352
-0.928571,4,58.808814
-0.857143,7,58.859692
-9.761905,11,58.938168
-0.785714,10,59.0104
-0.761905,11,59.210005
-9.761905,11,59.287969
-0.714286,13,59.386188
-9.785714,10,59.457921
-0.880952,6,59.503363
-0.642857,16,59.619915
-0.809524,9,59.687592
-0.761905,11,59.771257
-0.928571,4,59.801269
-0.880952,6,59.848066
-0.928571,4,59.877949
-0.880952,6,59.923916
1.190476,9,59.988344
-0.785714,10,60.062562
1.214286,10,60.133979
-0.761905,11,60.215943
-0.761905,11,60.295845
-0.761905,11,60.379408
-9.714286,13,60.470045
-0.785714,10,60.545465
-0.833333,8,60.605722
-0.833333,8,60.668669
-0.809524,9,60.735733
-0.880952,6,60.783607
-0.785714,10,60.856481
-0.785714,10,60.927546
-0.833333,8,60.98867
-0.738095,12,61.079327
-0.880952,6,61.245163
-0.738095,12,61.338158
-0.642857,16,61.459915
1.404762,18,61.586893
-0.666667,15,61.696408
-0.690476,14,61.801451
-9.857143,7,61.849585
-0.738095,12,61.937629
-0.928571,4,61.96676
-0.738095,12,62.055271
-0.833333,8,62.11561
-9.761905,11,62.193512
-0.833333,8,62.252553
-0.833333,8,62.311491
-0.833333,8,62.37189
-0.738095,12,62.458864
-0.857143,7,62.511853
1.190476,9,62.576269
-0.857143,7,62.628371
-0.761905,11,62.713847
-0.833333,8,62.774355
-9.738095,12,62.860983
-0.833333,8,62.918619
-0.928571,4,62.947058
-0.809524,9,63.015187
-0.809524,9,63.081609
-0.833333,8,63.259953
-0.666667,15,63.371052
-9.690476,14,63.470592
-0.904762,5,63.507188
